County,REP,DEM,OTH
ANDERSON,12262,3813,137
ANDREWS,3639,795,48
ANGELINA,20303,7834,269
ARANSAS,6830,2704,114
ARCHER,3600,525,39
ARMSTRONG,828,98,9
ATASCOSA,7461,5133,127
AUSTIN,9265,2252,132
BAILEY,1339,466,11
BANDERA,7426,1864,158
BASTROP,14033,9864,584
BAYLOR,1297,267,28
BEE,4356,3452,71
BELL,49574,35512,1120
BEXAR,241617,264856,7208
BLANCO,3638,1220,115
BORDEN,324,32,7
BOSQUE,5885,1367,104
BOWIE,24869,10196,339
BRAZORIA,70862,34421,1456
BRAZOS,37209,17477,1276
BREWSTER,1976,1765,126
BRISCOE,578,117,7
BROOKS,507,1886,10
BROWN,11895,1904,148
BURLESON,4671,1705,80
BURNET,12843,3674,279
CALDWELL,6021,4791,256
CALHOUN,4144,2410,94
CALLAHAN,4378,751,68
CAMERON,26099,49975,821
CAMP,2881,1428,26
CARSON,2451,292,35
CASS,8763,2924,101
CASTRO,1470,630,19
CHAMBERS,11787,2790,158
CHEROKEE,12094,3875,157
CHILDRESS,1665,320,11
CLAY,4266,740,51
COCHRAN,649,256,12
COKE,1218,179,11
COLEMAN,3012,442,38
COLLIN,196888,101415,4518
COLLINGSWORTH,962,177,11
COLORADO,6026,2029,62
COMAL,39318,11450,761
COMANCHE,3944,890,72
CONCHO,793,194,14
COOKE,11951,2246,154
CORYELL,11220,5158,226
COTTLE,555,180,6
CRANE,985,275,23
CROCKETT,957,480,20
CROSBY,1132,639,16
CULBERSON,295,568,16
DALLAM,1248,253,33
DALLAS,295813,405571,8733
DAWSON,2591,1019,32
DEAF SMITH,3042,1239,28
DELTA,1524,454,40
DENTON,157579,80978,4224
DEWITT,5122,1467,49
DICKENS,793,216,10
DIMMIT,762,2141,14
DONLEY,1287,226,22
DUVAL,980,3331,33
EASTLAND,5444,970,81
ECTOR,24010,8118,385
EDWARDS,642,232,10
ELLIS,39574,13881,696
EL PASO,57150,112952,2310
ERATH,10329,1965,179
FALLS,3356,2033,45
FANNIN,8161,2486,157
FAYETTE,8106,2315,130
FISHER,1094,512,23
FLOYD,1523,551,11
FOARD,348,140,7
FORT BEND,116126,101144,2219
FRANKLIN,3446,751,60
FREESTONE,5646,1850,74
FRIO,1559,2376,33
GAINES,3484,535,47
GALVESTON,69059,39511,1508
GARZA,1263,279,18
GILLESPIE,10306,2055,189
GLASSCOCK,526,44,8
GOLIAD,2294,1127,37
GONZALES,4216,1777,64
GRAY,6443,886,60
GRAYSON,30936,10670,658
GREGG,28742,12398,367
GRIMES,6141,2339,121
GUADALUPE,33117,15744,653
HALE,6490,2243,121
HALL,832,265,12
HAMILTON,2918,591,43
HANSFORD,1788,159,15
HARDEMAN,1176,302,17
HARDIN,17746,3359,192
HARRIS,586073,587044,15468
HARRISON,17512,8456,202
HARTLEY,1708,184,21
HASKELL,1424,553,36
HAYS,31661,25537,1813
HEMPHILL,1298,192,19
HENDERSON,21231,6106,290
HIDALGO,39865,97969,1325
HILL,9132,2752,161
HOCKLEY,5546,1486,102
HOOD,18409,3843,283
HOPKINS,9836,2777,140
HOUSTON,5880,2265,69
HOWARD,6453,2110,132
HUDSPETH,471,379,13
HUNT,21011,6671,367
HUTCHINSON,6804,1045,79
IRION,668,112,8
JACK,2580,303,25
JACKSON,3906,1070,49
