County,REP,DEM,OTH
ANDERSON,13201,3369,407
ANDREWS,3927,836,180
ANGELINA,21668,7538,705
ARANSAS,7740,2465,307
ARCHER,3786,394,103
ARMSTRONG,924,70,27
ATASCOSA,8618,4651,404
AUSTIN,9637,2320,317
BAILEY,1344,397,52
BANDERA,8163,1726,329
BASTROP,16328,10569,1557
BAYLOR,1267,191,41
BEE,4744,3444,297
BELL,51998,37801,5195
BEXAR,240333,319550,29762
BLANCO,4212,1244,229
BORDEN,330,31,4
BOSQUE,6339,1278,221
BOWIE,24924,8838,840
BRAZORIA,72791,43200,5190
BRAZOS,38738,23121,5352
BREWSTER,2077,1873,302
BRISCOE,625,91,20
BROOKS,613,1937,46
BROWN,12017,1621,388
BURLESON,5316,1491,153
BURNET,14638,3797,769
CALDWELL,6691,4795,606
CALHOUN,4638,2118,209
CALLAHAN,4865,569,145
CAMERON,29472,59402,3205
CAMP,3201,1260,81
CARSON,2620,249,95
CASS,9726,2391,227
CASTRO,1414,526,57
CHAMBERS,13339,2948,499
CHEROKEE,12919,3469,402
CHILDRESS,1802,253,29
CLAY,4377,536,105
COCHRAN,679,190,32
COKE,1265,140,18
COLEMAN,3177,388,78
COLLIN,201014,140624,19781
COLLINGSWORTH,983,145,28
COLORADO,6325,1987,201
COMAL,45136,14238,2804
COMANCHE,4333,789,115
CONCHO,885,148,35
COOKE,13181,2352,422
CORYELL,12225,5064,964
COTTLE,506,92,14
CRANE,1049,299,36
CROCKETT,980,372,43
CROSBY,1181,468,79
CULBERSON,280,454,33
DALLAM,1261,222,61
DALLAS,262945,461080,34948
DAWSON,2636,835,92
DEAF SMITH,2911,1185,120
DELTA,1836,400,45
DENTON,170603,110890,17152
DEWITT,5519,1163,162
DICKENS,755,128,26
DIMMIT,974,2173,78
DONLEY,1225,191,49
DUVAL,1316,2783,69
EASTLAND,6011,776,176
ECTOR,25020,10249,1261
EDWARDS,746,303,24
ELLIS,44941,16253,2479
EL PASO,55512,147843,10653
ERATH,11210,2160,523
FALLS,3441,1684,123
FANNIN,9548,2132,364
FAYETTE,8743,2144,287
FISHER,1265,403,61
FLOYD,1474,435,50
FOARD,383,113,17
FORT BEND,117291,134686,10089
FRANKLIN,3585,665,130
FREESTONE,6026,1471,187
FRIO,1856,2444,100
GAINES,3907,597,116
GALVESTON,73757,43658,5488
GARZA,1225,230,29
GILLESPIE,10446,2288,480
GLASSCOCK,553,34,17
GOLIAD,2620,973,115
GONZALES,4587,1571,176
GRAY,6500,701,204
GRAYSON,35325,10301,1790
GREGG,28764,11677,1308
GRIMES,7065,2194,274
GUADALUPE,36632,18391,2799
HALE,6366,2101,391
HALL,893,164,34
HAMILTON,3060,479,81
